mic1,mic2,mic3,mic4
-30,74,-98,-108
-54,72,-86,-114
-60,60,-104,-110
-64,52,-86,-94
-52,94,-112,-122
-58,50,-82,-94
-30,74,-62,-118
-70,42,-90,-104
-50,64,-72,-96
-66,42,-64,-98
-64,74,-90,-92
-70,58,-70,-76
-78,42,-92,-80
-46,58,-86,-94
-40,76,-66,-102
-40,64,-84,-118
-58,86,-74,-106
-34,92,-86,-84
-50,72,-64,-98
-64,90,-88,-62
-28,68,-84,-104
-18,80,-68,-98
-48,58,-70,-108
-34,74,-52,-94
-44,72,-66,-88
-26,64,-64,-84
-60,66,-52,-112
-42,62,-98,-114
-78,60,-66,-90
-38,66,-90,-96
-50,66,-74,-90
-46,46,-84,-116
-28,76,-68,-96
-54,82,-52,-72
-60,88,-66,-102
-40,82,-84,-82
-38,72,-72,-86
-26,94,-60,-110
-44,52,-84,-78
-42,82,-72,-94
-52,64,-72,-96
-66,42,-64,-98
-64,74,-90,-92
-70,58,-70,-76
-78,42,-92,-80
-46,58,-86,-94
-40,76,-66,-86
-40,58,-68,-116
-38,56,-74,-72
-38,86,-74,-92
-40,80,-68,-98
-56,68,-88,-62
-28,68,-84,-104
-18,80,-68,-98
-48,58,-70,-108
-34,74,-52,-94
-44,72,-66,-88
-26,64,-64,-84
-60,66,-52,-98
-42,64,-64,-104
-44,54,-62,-90
-54,60,-70,-94
-20,50,-62,-68
-56,84,-70,-106
-28,76,-68,-96
-54,82,-52,-72
-60,88,-66,-102
-40,82,-84,-82
-38,72,-72,-86
-26,94,-60,-110
-44,52,-84,-84
-42,78,-58,-80
-28,64,-52,-88
-46,36,-94,-106
-62,68,-44,-110
-48,68,-74,-106
-48,90,-62,-90
-52,66,-60,-92
-32,46,-64,-90
-34,76,-70,-72
-38,56,-74,-72
-38,86,-74,-92
-40,80,-68,-78
-56,68,-68,-82
-54,88,-60,-66
-66,62,-58,-80
-44,52,-88,-106
-38,84,-64,-96
-34,94,-66,-74
-56,54,-76,-104
-18,74,-86,-92
-48,60,-42,-98
-46,64,-62,-106
